,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
0,1,Bitcoin,BTC,bitcoin,11597,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720284.0,19720284.0,False,,1,,,,2024-07-14T08:38:00.000Z,60279.866350850316,21761105381.901737,0.4513,0.47415634,3.7214263,4.91168077,-10.15602185,-2.96174544,-9.13531094,1188736083920.8118,53.6599,1265877193367.86,,2024-07-14T08:38:00.000Z,,,,,,2024-07-14 11:39:21.780017
1,1027,Ethereum,ETH,ethereum,9132,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120215726.06015156,120215726.06015156,True,,2,,,,2024-07-14T08:37:00.000Z,3207.825694085597,9994671773.156197,-9.6001,0.38648249,2.16258507,6.62836178,-8.83997849,10.39090199,-1.65008206,385631094888.9097,17.3999,385631094888.91,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
2,825,Tether USDt,USDT,tether,91518,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112466925458.78345,116072162582.33752,True,,3,,,,2024-07-14T08:37:00.000Z,1.0003756583747714,40330385929.13795,-1.311,-0.00131697,0.00575565,0.0302051,0.0982492,0.0557918,-0.07614186,112509174601.21683,5.074,116115766062.29,,2024-07-14T08:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-14 11:39:21.780017
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582292.4714936,147582292.4714936,False,,4,,,,2024-07-14T08:37:00.000Z,539.1653345913061,1527569947.53118,1.2907,0.1662872,0.46129166,5.92809986,-11.22851896,-4.83907948,-6.78789003,79571256100.14484,3.5903,79571256100.14,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464063355.46958154,580143186.3079014,True,,5,,,,2024-07-14T08:37:00.000Z,145.23094488291218,1626524276.969018,4.0892,0.15582155,4.31056644,4.26333732,-2.01996607,0.90546939,-6.04993156,67396359600.38208,3.041,84254743114.88,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
5,3408,USDC,USDC,usd-coin,20946,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33949129333.978508,33949129333.978508,False,,6,,,,2024-07-14T08:37:00.000Z,0.9999739969188326,3958670607.6524973,-11.6651,-0.00824423,-0.00750405,-0.00243738,0.00123078,-0.00954399,-0.03009995,33948246552.012875,1.5318,33948246552.01,,2024-07-14T08:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-14 11:39:21.780017
6,52,XRP,XRP,xrp,1352,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55805339473.0,99987452475.0,False,,7,,,,2024-07-14T08:38:00.000Z,0.5291124540090346,2627019607.0585837,32.4642,0.49491368,3.05105962,21.03814157,10.42410739,5.90045115,2.19561449,29527300115.366276,1.3332,52911245400.9,,2024-07-14T08:38:00.000Z,,,,,,2024-07-14 11:39:21.780017
7,11419,Toncoin,TON,toncoin,458,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506915125.0328255,5108965054.362898,True,,8,3414166606.0,25105856122.747444,,2024-07-14T08:37:00.000Z,7.35343614416087,176837041.95982295,-0.7082,0.12661298,0.54722027,-2.06990114,-6.622271,5.33903072,4.33512581,18434440290.759945,0.8318,37568448290.01,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
8,74,Dogecoin,DOGE,dogecoin,1021,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145109636383.70523,145109636383.70523,True,,9,,,,2024-07-14T08:38:00.000Z,0.11391862972660763,599903584.948614,42.0368,0.09234718,4.22243634,3.52313476,-20.32717651,-23.62367177,-31.20711634,16530690936.957987,0.7459,16530690936.96,,2024-07-14T08:38:00.000Z,,,,,,2024-07-14 11:39:21.780017
9,2010,Cardano,ADA,cardano,1212,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35881022584.206,37048613783.371,False,,10,,,,2024-07-14T08:37:00.000Z,0.43109431335183035,389453413.1601877,15.7133,0.03744329,1.64560515,18.01383624,1.98104455,-0.13792752,-12.79524433,15468104793.299803,0.6979,19399244100.83,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
10,1958,TRON,TRX,tron,999,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87127065199.57858,87127079675.02417,True,,11,71659659264.0,9910444046.37942,,2024-07-14T08:37:00.000Z,0.13829878830247488,341143185.67400485,-5.0645,0.20408621,-1.03143904,6.29635954,19.21955887,10.20012774,19.97012186,12049567545.452446,0.5437,12049569547.39,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
11,5994,Shiba Inu,SHIB,shiba-inu,844,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270745427560.2,589519214031625.9,False,,12,,,,2024-07-14T08:37:00.000Z,1.7535218346022687e-05,264256539.27705294,23.4842,0.28432303,3.72700384,7.09794654,-19.24283453,-26.844174,-26.02609078,10332991185.99582,0.4662,10337348137.22,,2024-07-14T08:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-07-14 11:39:21.780017
12,5805,Avalanche,AVAX,avalanche,751,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,394486959.0951942,443833329.0951942,False,,13,,,,2024-07-14T08:37:00.000Z,26.12110007319546,286122060.54721063,21.2798,0.34485106,0.43369784,-1.08704706,-18.14716888,-19.64087737,-31.22408706,10304433336.096132,0.4649,18696143916.26,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
13,6636,Polkadot,DOT,polkadot-new,792,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,14,1468484661.922414,9162407619.951904,,2024-07-14T08:37:00.000Z,6.239362151700834,122761616.59173344,-12.1097,0.2012113,-0.06410792,0.74178401,-2.88140634,-4.94959894,-12.95131976,8971912215.586803,0.4048,8971912215.59,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
14,1975,Chainlink,LINK,chainlink,1814,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,608099970.4527867,1000000000.0,False,,15,,,,2024-07-14T08:37:00.000Z,13.127417231084285,253638871.8943202,-8.37,0.32120032,1.00524865,2.56927943,-14.45220215,0.73523625,-9.78277178,7982782030.343757,0.3602,13127417231.08,,2024-07-14T08:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-07-14 11:39:21.780017
0,1,Bitcoin,BTC,bitcoin,11597,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19720284.0,19720284.0,False,,1,,,,2024-07-14T08:38:00.000Z,60279.866350850316,21761105381.901737,0.4513,0.47415634,3.7214263,4.91168077,-10.15602185,-2.96174544,-9.13531094,1188736083920.8118,53.6599,1265877193367.86,,2024-07-14T08:38:00.000Z,,,,,,2024-07-14 11:39:21.780017
1,1027,Ethereum,ETH,ethereum,9132,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120215726.06015156,120215726.06015156,True,,2,,,,2024-07-14T08:37:00.000Z,3207.825694085597,9994671773.156197,-9.6001,0.38648249,2.16258507,6.62836178,-8.83997849,10.39090199,-1.65008206,385631094888.9097,17.3999,385631094888.91,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
2,825,Tether USDt,USDT,tether,91518,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112466925458.78345,116072162582.33752,True,,3,,,,2024-07-14T08:37:00.000Z,1.0003756583747714,40330385929.13795,-1.311,-0.00131697,0.00575565,0.0302051,0.0982492,0.0557918,-0.07614186,112509174601.21683,5.074,116115766062.29,,2024-07-14T08:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-14 11:39:21.780017
3,1839,BNB,BNB,bnb,2192,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582292.4714936,147582292.4714936,False,,4,,,,2024-07-14T08:37:00.000Z,539.1653345913061,1527569947.53118,1.2907,0.1662872,0.46129166,5.92809986,-11.22851896,-4.83907948,-6.78789003,79571256100.14484,3.5903,79571256100.14,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
4,5426,Solana,SOL,solana,701,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,464063355.46958154,580143186.3079014,True,,5,,,,2024-07-14T08:37:00.000Z,145.23094488291218,1626524276.969018,4.0892,0.15582155,4.31056644,4.26333732,-2.01996607,0.90546939,-6.04993156,67396359600.38208,3.041,84254743114.88,,2024-07-14T08:37:00.000Z,,,,,,2024-07-14 11:39:21.780017
5,3408,USDC,USDC,usd-coin,20946,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33949129333.978508,33949129333.978508,False,,6,,,,2024-07-14T08:37:00.000Z,0.9999739969188326,3958670607.6524973,-11.6651,-0.00824423,-0.00750405,-0.00243738,0.00123078,-0.00954399,-0.03009995,33948246552.012875,1.5318,33948246552.01,,2024-07-14T08:37:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-14 11:39:21.780017
