"Id","ActivityDate","TotalMinutesAsleep","TotalMinutesInBed","MinutesToSleep","ActiveMinutes"
1503960366,"2016-04-12","327","346","19",1094
1503960366,"2016-04-13","384","407","23",1033
1503960366,"2016-04-14",NO DATA,NO DATA,No DATA,1440
1503960366,"2016-04-15","412","442","30",998
1503960366,"2016-04-16","340","367","27",1040
1503960366,"2016-04-17","700","712","12",761
1503960366,"2016-04-18",NO DATA,NO DATA,No DATA,1440
1503960366,"2016-04-19","304","320","16",1120
1503960366,"2016-04-20","360","377","17",1063
1503960366,"2016-04-21","325","364","39",1076
1503960366,"2016-04-22",NO DATA,NO DATA,No DATA,1440
1503960366,"2016-04-23","361","384","23",1056
1503960366,"2016-04-24","430","449","19",991
1503960366,"2016-04-25","277","323","46",1117
1503960366,"2016-04-26","245","274","29",1166
1503960366,"2016-04-27",NO DATA,NO DATA,No DATA,1440
1503960366,"2016-04-28","366","393","27",1047
1503960366,"2016-04-29","341","354","13",1086
1503960366,"2016-04-30","404","425","21",1015
1503960366,"2016-05-01","369","396","27",1044
1503960366,"2016-05-02","277","309","32",1131
1503960366,"2016-05-03","273","296","23",1144
1503960366,"2016-05-04",NO DATA,NO DATA,No DATA,1440
1503960366,"2016-05-05","247","264","17",1176
1503960366,"2016-05-06","334","367","33",1073
1503960366,"2016-05-07","331","349","18",1091
1503960366,"2016-05-08","594","611","17",829
1503960366,"2016-05-09","338","342","4",1098
1503960366,"2016-05-10","383","403","20",1037
1503960366,"2016-05-11","285","306","21",979
1503960366,"2016-05-12",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-12",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-13",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-14",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-15",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-16",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-17",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-18",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-19",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-20",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-21",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-22",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-23",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-24",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-25",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-26",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-27",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-28",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-29",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-04-30",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-01",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-02",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-03",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-04",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-05",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-06",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-07",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-08",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-09",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-10",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-11",NO DATA,NO DATA,No DATA,1440
1624580081,"2016-05-12",NO DATA,NO DATA,No DATA,997
1644430081,"2016-04-12",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-13",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-14",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-15",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-16",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-17",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-18",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-19",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-20",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-21",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-22",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-23",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-24",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-25",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-26",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-27",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-28",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-04-29","119","127","8",1313
1644430081,"2016-04-30","124","142","18",1298
1644430081,"2016-05-01",NO DATA,NO DATA,No DATA,1081
1644430081,"2016-05-02","796","961","165",838
1644430081,"2016-05-03",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-04",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-05",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-06",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-07",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-08","137","154","17",1286
1644430081,"2016-05-09",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-10",NO DATA,NO DATA,No DATA,1440
1644430081,"2016-05-11",NO DATA,NO DATA,No DATA,762
1844505072,"2016-04-12",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-13",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-14",NO DATA,NO DATA,No DATA,1216
1844505072,"2016-04-15","644","961","317",703
1844505072,"2016-04-16",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-17",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-18",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-19",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-20",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-21",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-22",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-23",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-24",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-25",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-26",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-27",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-28",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-04-29",NO DATA,NO DATA,No DATA,1329
1844505072,"2016-04-30","722","961","239",402
1844505072,"2016-05-01","590","961","371",667
1844505072,"2016-05-02",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-03",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-04",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-05",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-06",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-07",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-08",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-09",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-10",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-11",NO DATA,NO DATA,No DATA,1440
1844505072,"2016-05-12",NO DATA,NO DATA,No DATA,711
1927972279,"2016-04-12","750","775","25",789
