Id,Number_of_Days,"User Category"
1503960366,25,"More Than Half of Nights User"
1624580081,0,"No Data"
1644430081,4,"Less Than Half of Nights User"
1844505072,3,"Less Than Half of Nights User"
1927972279,5,"Less Than Half of Nights User"
2022484408,0,"No Data"
2026352035,28,"More Than Half of Nights User"
2320127002,1,"Less Than Half of Nights User"
2347167796,15,"More Than Half of Nights User"
2873212765,0,"No Data"
3372868164,0,"No Data"
3977333714,28,"More Than Half of Nights User"
4020332650,8,"Less Than Half of Nights User"
4057192912,0,"No Data"
4319703577,26,"More Than Half of Nights User"
4388161847,24,"More Than Half of Nights User"
4445114986,28,"More Than Half of Nights User"
4558609924,5,"Less Than Half of Nights User"
4702921684,28,"More Than Half of Nights User"
5553957443,31,"Every Night User"
5577150313,26,"More Than Half of Nights User"
6117666160,18,"More Than Half of Nights User"
6290855005,0,"No Data"
6775888955,3,"Less Than Half of Nights User"
6962181067,31,"Every Night User"
7007744171,2,"Less Than Half of Nights User"
7086361926,24,"More Than Half of Nights User"
8053475328,3,"Less Than Half of Nights User"
8253242879,0,"No Data"
8378563200,32,"Every Night User"
8583815059,0,"No Data"
8792009665,15,"More Than Half of Nights User"
8877689391,0,"No Data"
